#

# Asahi Kasei Geofeed, last updated (rfc3339): 2024-09-13T07:36:10+00:00
# Self-published geofeed as defined in RFC 8805.
#ip_prefix,country_code,region,city,

66.54.105.0/24,US,US-NC,Kannapolis,
4.26.69.160/30,US,US-NC,Charlotte,
4.79.200.56/30,US,US-NC,Concord,
152.186.207.208/30,US,US-NC,Charlotte,
208.47.92.200/30,US,US-KY,Owensboro,
109.3.206.212/30,FR,FR-GES,Strasbourg,
77.158.244.64/26,FR,FR-GES,Strasbourg,
91.206.255.0/24,FR,FR-GES,Strasbourg,
84.46.100.0/29,DE,DE-SH,Norderstedt,
213.23.101.248/29,DE,DE-SH,Norderstedt,
77.158.178.64/28,FR,FR-GES,Selestat,
101.231.43.32/30,CN,CN-SH,Shanghai,
101.230.152.64/26,CN,CN-SH,Shanghai,
210.13.65.188/30,CN,CN-SH,Shanghai,
222.71.240.56/29,CN,CN-SH,Shanghai,
123.151.200.72/29,CN,CN-TJ,Tianjin,
58.51.63.0/24,CN,CN-HB,XyangYang,
202.136.171.184/30,SG,SG-01,Singapore,
202.136.170.192/26,SG,SG-01,Singapore,
103.40.201.128/28,IN,IN-HP,Baddi,
103.11.80.248/30,IN,IN-HP,Baddi,
180.151.37.224/29,IN,IN-KA,Bangalore,
103.180.234.184/29,IN,IN-KA,Bangalore,
14.97.112.248/30,IN,IN-GJ,Sambheti,
45.113.104.56/29,IN,IN-GJ,Sambheti,
123.215.28.192/28,KR,KR-44,Ochang,
147.50.89.48/28,TH,TH-25,Moo7,
113.43.208.64/29,JP,JP-13,Tokyo,
50.148.4.80/29,US,US-TX,The Woodlands,
50.148.4.88/29,US,US-TX,The Woodlands,
2602:811:d000::/48,US,US-NC,Kannapolis,
2a13:ff80:0::/48,FR,FR-6AE,Strasbourg,
